,Year,Month,Departure station,Arrival station,Average travel time (min)
93,2018,10.0,METZ,PARIS EST,85.87540983609999
94,2018,10.0,STRASBOURG,PARIS EST,112.616525424
95,2018,10.0,NANTES,STRASBOURG,306.594594595
96,2018,10.0,ARRAS,PARIS NORD,51.668711656400006
97,2018,10.0,DOUAI,PARIS NORD,78.7281553398
98,2018,10.0,PARIS LYON,GRENOBLE,184.548523207
99,2018,10.0,MARSEILLE ST CHARLES,PARIS LYON,197.920454545
100,2018,10.0,PARIS LYON,MULHOUSE VILLE,167.909722222
101,2018,10.0,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,168.009090909
102,2018,10.0,MARSEILLE ST CHARLES,LYON PART DIEU,102.85770751
103,2018,10.0,PARIS LYON,ITALIE,427.395789474
104,2018,11.0,LAVAL,PARIS MONTPARNASSE,90.0
105,2018,11.0,AVIGNON TGV,PARIS LYON,160.478846154
106,2018,11.0,STUTTGART,PARIS EST,190.885446009
107,2018,11.0,GENEVE,PARIS LYON,194.014673046
108,2018,9.0,CHAMBERY CHALLES LES EAUX,PARIS LYON,184.776595745
109,2018,9.0,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.025
110,2018,9.0,MARSEILLE ST CHARLES,MARNE LA VALLEE,214.174496644
111,2018,9.0,MARSEILLE ST CHARLES,TOURCOING,296.0
112,2018,9.0,MADRID,MARSEILLE ST CHARLES,419.801666667
113,2018,9.0,ITALIE,PARIS LYON,433.444886364
114,2019,3.0,STRASBOURG,PARIS EST,116.548449612
115,2019,3.0,PARIS MONTPARNASSE,RENNES,98.888372093
116,2019,3.0,ANGERS SAINT LAUD,PARIS MONTPARNASSE,93.7399103139
117,2019,6.0,PARIS NORD,DOUAI,67.0
118,2019,6.0,BORDEAUX ST JEAN,TOURCOING,300.931034483
119,2019,6.0,MARSEILLE ST CHARLES,MARNE LA VALLEE,210.926229508
120,2019,6.0,PARIS LYON,NICE VILLE,352.834319527
121,2019,5.0,LYON PART DIEU,MARNE LA VALLEE,109.773109244
122,2019,5.0,DIJON VILLE,PARIS LYON,98.4103139013
123,2019,5.0,PARIS LYON,MACON LOCHE,96.4020100503
124,2019,4.0,PARIS LYON,MACON LOCHE,96.345177665
125,2019,4.0,LYON PART DIEU,MARSEILLE ST CHARLES,104.76519337
126,2019,4.0,MONTPELLIER,PARIS LYON,207.123778502
127,2018,9.0,POITIERS,PARIS MONTPARNASSE,100.091954023
128,2018,9.0,BREST,PARIS MONTPARNASSE,230.771863118
129,2018,11.0,PARIS MONTPARNASSE,BREST,222.870848708
130,2018,11.0,TOURCOING,MARSEILLE ST CHARLES,304.733333333
131,2018,11.0,MACON LOCHE,PARIS LYON,100.190721649
132,2018,11.0,PARIS LYON,GENEVE,192.774779541
133,2018,10.0,PARIS EST,NANCY,95.2536231884
134,2018,10.0,MARNE LA VALLEE,LYON PART DIEU,109.674740484
135,2018,10.0,PARIS LYON,MARSEILLE ST CHARLES,198.61655773400005
136,2018,10.0,NICE VILLE,PARIS LYON,345.15189873400004
137,2018,9.0,MARSEILLE ST CHARLES,PARIS LYON,196.961995249
138,2018,9.0,NICE VILLE,PARIS LYON,345.378640777
139,2018,9.0,MARSEILLE ST CHARLES,LYON PART DIEU,108.595419847
140,2018,7.0,LA ROCHELLE VILLE,PARIS MONTPARNASSE,174.208530806
141,2018,7.0,PARIS MONTPARNASSE,ANGOULEME,132.209756098
142,2018,8.0,VALENCE ALIXAN TGV,PARIS LYON,133.025559105
143,2018,7.0,TOURS,PARIS MONTPARNASSE,81.4589041096
144,2018,7.0,BORDEAUX ST JEAN,PARIS VAUGIRARD,139.360655738
145,2018,7.0,PARIS MONTPARNASSE,POITIERS,99.5710843373
146,2018,7.0,PARIS LYON,CHAMBERY CHALLES LES EAUX,188.820689655
147,2018,7.0,PARIS LYON,ANNECY,234.396551724
148,2018,7.0,LYON PART DIEU,MARNE LA VALLEE,109.375912409
149,2018,7.0,MARNE LA VALLEE,MARSEILLE ST CHARLES,215.696132597
150,2018,7.0,PARIS LYON,NIMES,176.887955182
151,2018,7.0,FRANCFORT,PARIS EST,111.346376812
152,2018,8.0,ST MALO,PARIS MONTPARNASSE,180.710526316
153,2019,1.0,BORDEAUX ST JEAN,TOURCOING,301.566666667
154,2019,1.0,MONTPELLIER,PARIS LYON,209.366013072
155,2018,12.0,PARIS MONTPARNASSE,ANGOULEME,127.097378277
156,2019,1.0,PARIS LYON,ZURICH,242.421555556
157,2018,12.0,METZ,PARIS EST,85.6151202749
158,2018,12.0,VANNES,PARIS MONTPARNASSE,155.453531599
159,2018,12.0,DIJON VILLE,PARIS LYON,98.6542923434
160,2018,12.0,TOURCOING,BORDEAUX ST JEAN,286.0
161,2019,5.0,VANNES,PARIS MONTPARNASSE,155.21875
162,2019,6.0,TOURS,PARIS MONTPARNASSE,81.1954022989
163,2019,6.0,PARIS EST,STRASBOURG,116.50499002
164,2019,6.0,PARIS LYON,ANNECY,224.21088435400003
165,2019,6.0,PARIS LYON,MONTPELLIER,207.637770898
166,2019,6.0,ZURICH,PARIS LYON,233.798611111
167,2019,5.0,PARIS LYON,GRENOBLE,186.197309417
168,2019,5.0,PARIS LYON,LAUSANNE,203.625
169,2015,4.0,FRANCFORT,PARIS EST,100.125
170,2018,9.0,PARIS LYON,TOULON,237.42145593900003
171,2018,9.0,PARIS LYON,GENEVE,193.451658375
172,2018,9.0,PARIS EST,STUTTGART,182.932528736
173,2018,9.0,BARCELONA,PARIS LYON,379.249444444
174,2018,9.0,TOURCOING,MARSEILLE ST CHARLES,304.4
175,2018,9.0,PARIS LYON,NICE VILLE,348.606796117
176,2018,11.0,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.515625
177,2018,11.0,LILLE,PARIS NORD,63.4340277778
